2,77,2
2,240,2
2,444,2
3,458,3
4,588,4
2,839,2
4,858,4
3,929,3
5,768,5
4,807,4
5,836,5
5,884,5
6,334,6
6,388,6
6,751,6
6,73,6
6,455,6
6,615,6
6,813,6
7,906,7
10,156,10
10,338,10
12,332,12
16,63,16
17,187,17
16,255,16
17,264,17
16,612,16
27,234,27
27,337,27
28,406,28
26,414,26
27,553,27
29,602,29
32,423,32
33,688,33
32,766,32
33,502,33
33,311,33
34,335,34
34,394,34
34,408,34
33,500,33
34,699,34
37,386,37
37,618,37
41,424,41
42,839,42
48,329,48
48,493,48
48,528,48
48,547,48
50,659,50
47,669,47
52,323,52
53,861,53
53,598,53
61,654,61
58,803,58
59,319,59
59,402,59
61,531,61
60,554,60
62,512,62
61,806,61
63,442,63
68,554,68
76,984,76
77,318,77
81,390,81
82,774,82
85,403,85
91,809,91
90,747,90
93,231,93
93,321,93
94,505,94
94,686,94
97,199,97
97,250,97
97,356,97
97,518,97
97,682,97
97,746,97
97,987,97
